category,number,name,team,year,brand,set,flags,front_image,back_image
Baseball,DKM-JB,Jake Burger,Chicago White Sox,2022,Panini,2022 Panini Diamond Kings - DK Materials,MEM,https://storage.googleapis.com/collx-user-cards/232360-322318276-front.jpg,https://storage.googleapis.com/collx-user-cards/232360-322318276-back.jpg
Baseball,PZ-23,Gleyber Torres,New York Yankees,2020,,2020 Stadium Club - Power Zone,,https://storage.googleapis.com/collx-media/user_cards/232360-22902896-1660519168-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-22902896-1660519168-back.jpg
Baseball,140,Willie Mays,New York Giants,2020,,2020 Stadium Club - Sepia,,https://storage.googleapis.com/collx-media/user_cards/232360-22901858-1660518961-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-22901858-1660518961-back.jpg
Baseball,59,Spencer Howard,Philadelphia Phillies,2021,Panini,2021 Panini Diamond Kings,RC,https://storage.googleapis.com/collx-media/user_cards/232360-22900616-1660518701-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-22900616-1660518701-back.jpg
Baseball,TC52-26,Jo Adell,Los Angeles Angels,2021,Topps,2021 Topps - 1952 Topps Redux Chrome,,https://storage.googleapis.com/collx-media/user_cards/232360-22892410-1660516948-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-22892410-1660516948-back.jpg
Baseball,349,Frank Thomas,Chicago White Sox,1992,Leaf,1992 Leaf,,https://storage.googleapis.com/collx-media/user_cards/232360-22156424-1660314647-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-22156424-1660314647-back.jpg
Baseball,663,Hank Aaron,Atlanta Braves,1989,Topps,1989 Topps,,https://storage.googleapis.com/collx-media/user_cards/232360-22156305-1660314611-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-22156305-1660314611-back.jpg
Baseball,654,Bo Jackson,Chicago White Sox,1992,,1992 Stadium Club,,https://storage.googleapis.com/collx-media/user_cards/232360-22155781-1660314403-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-22155781-1660314403-back.jpg
Baseball,220,Bo Jackson,Kansas City Royals,1988,Donruss,1988 Donruss,,https://storage.googleapis.com/collx-media/user_cards/232360-22154068-1660313678-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-22154068-1660313678-back.jpg
Baseball,499,Craig Biggio,Houston Astros,1991,Fleer,1991 Fleer,,https://storage.googleapis.com/collx-media/user_cards/232360-22149761-1660311902-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-22149761-1660311902-back.jpg
Baseball,6,Dennis Eckersley,Oakland Athletics,1991,Fleer,1991 Fleer,,https://storage.googleapis.com/collx-media/user_cards/232360-22149734-1660311890-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-22149734-1660311890-back.jpg
Baseball,13,Pedro Guerrero,St. Louis Cardinals,1990,Score,1990 Score,,https://storage.googleapis.com/collx-media/user_cards/232360-22149693-1660311871-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-22149693-1660311871-back.jpg
Baseball,375,Ron Guidry,New York Yankees,1987,Topps,1987 Topps,,https://storage.googleapis.com/collx-media/user_cards/232360-22149657-1660311853-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-22149657-1660311853-back.jpg
Baseball,315,Maury Wills,Los Angeles Dodgers,1987,Topps,1987 Topps,,https://storage.googleapis.com/collx-media/user_cards/232360-22149555-1660311802-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-22149555-1660311802-back.jpg
Baseball,559,Tom Gordon,Kansas City Royals,1991,Fleer,1991 Fleer,,https://storage.googleapis.com/collx-media/user_cards/232360-22148420-1660311344-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-22148420-1660311344-back.jpg
Baseball,405,Dwight Gooden,New York Mets,1988,Topps,1988 Topps,,https://storage.googleapis.com/collx-media/user_cards/232360-22148290-1660311296-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-22148290-1660311296-back.jpg
Baseball,46,Hideo Nomo,Los Angeles Dodgers,2004,,2004 Flair,,https://storage.googleapis.com/collx-media/user_cards/232360-22145451-1660310088-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-22145451-1660310088-back.jpg
Baseball,229,David Wells,Toronto Blue Jays,1990,Topps,1990 Topps,,https://storage.googleapis.com/collx-media/user_cards/232360-22145285-1660310029-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-22145285-1660310029-back.jpg
Baseball,54,Team Celebration,Boston Red Sox,2004,Topps,2004 Topps World Champions Boston Red Sox,WS,https://storage.googleapis.com/collx-media/user_cards/232360-22145054-1660309921-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-22145054-1660309921-back.jpg
Baseball,85,Carl Edwards Jr.,Chicago Cubs,2016,Topps,2016 Topps Chrome,RC,https://storage.googleapis.com/collx-media/user_cards/232360-22144530-1660309681-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-22144530-1660309681-back.jpg
Baseball,93,Ross Stripling,Los Angeles Dodgers,2016,Topps,2016 Topps Chrome - Prism Refractor,RC,https://storage.googleapis.com/collx-media/user_cards/232360-22144480-1660309651-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-22144480-1660309651-back.jpg
Baseball,39,Patrick Sandoval,Los Angeles Angels,2020,Select,2020 Panini Select,RC,https://storage.googleapis.com/collx-media/user_cards/232360-22144245-1660309505-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-22144245-1660309505-back.jpg
Baseball,90,Michel Baez,San Diego Padres,2020,Prizm,2020 Panini Prizm,RC,https://storage.googleapis.com/collx-media/user_cards/232360-22143073-1660308938-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-22143073-1660308938-back.jpg
Baseball,F-8,Juan Soto,Washington Nationals,2020,Panini,2020 Panini Prizm - Fireworks,,https://storage.googleapis.com/collx-media/user_cards/232360-22142976-1660308885-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-22142976-1660308885-back.jpg
Baseball,115,Mitch Garver,Minnesota Twins,2020,Prizm,2020 Panini Prizm - White Wave Prizm,,https://storage.googleapis.com/collx-media/user_cards/232360-22141990-1660308388-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-22141990-1660308388-back.jpg
Baseball,6,Shin-Soo Choo,Texas Rangers,2020,Prizm,2020 Panini Prizm - White Wave Prizm,,https://storage.googleapis.com/collx-media/user_cards/232360-22141884-1660308331-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-22141884-1660308331-back.jpg
Baseball,5,Jo Adell,Los Angeles Angels,2021,Bowman,2021 Bowman Platinum,RC,https://storage.googleapis.com/collx-media/user_cards/232360-20950214-1659930669-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-20950214-1659930669-back.jpg
Baseball,31,Ramon Urias,Baltimore Orioles,2021,Prizm,2021 Panini Prizm - Purple Prizm,,https://storage.googleapis.com/collx-media/user_cards/232360-20949299-1659930455-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-20949299-1659930455-back.jpg
Baseball,169,Alejandro Kirk,Toronto Blue Jays,2021,Panini,2021 Panini Prizm - Green Prizm,,https://storage.googleapis.com/collx-media/user_cards/232360-20948524-1659930269-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-20948524-1659930269-back.jpg
Baseball,177,Ryan Castellani,Colorado Rockies,2021,Topps,2021 Topps - 70th Anniversary Platinum,SN70,https://storage.googleapis.com/collx-media/user_cards/232360-20854141-1659909580-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-20854141-1659909580-back.jpg
Baseball,57,George Brett,Kansas City Royals,1987,Topps,1987 Topps Major League Leaders Minis,,https://storage.googleapis.com/collx-media/user_cards/232360-20850163-1659908696-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-20850163-1659908696-back.jpg
Baseball,500,Nolan Ryan,California Angels,1975,Topps,1975 Topps,,https://storage.googleapis.com/collx-media/user_cards/232360-20825598-1659903310-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-20825598-1659903310-back.jpg
Baseball,RR18,Dylan Cease,Chicago White Sox,2020,Panini,2020 Panini Absolute - Rookie Round Up,,https://storage.googleapis.com/collx-media/user_cards/232360-20504267-1659812732-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-20504267-1659812732-back.jpg
Baseball,98,Bryce Harper,Washington Nationals,2013,Panini,2013 Panini Select,,https://storage.googleapis.com/collx-media/user_cards/232360-20492878-1659810192-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-20492878-1659810192-back.jpg
Baseball,25,CC Sabathia,New York Yankees,2013,Panini,2013 Panini Select,,https://storage.googleapis.com/collx-media/user_cards/232360-20490934-1659809750-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-20490934-1659809750-back.jpg
Baseball,35,Jacob deGrom,New York Mets,2020,Prizm,2020 Panini Prizm - Blue Donut Circles Prizm,SN199,https://storage.googleapis.com/collx-media/user_cards/232360-20489657-1659809465-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-20489657-1659809465-back.jpg
Baseball,2,Alec Bohm,Philadelphia Phillies,2021,Bowman,2021 Bowman 5x7,SN49,https://storage.googleapis.com/collx-media/user_cards/232360-20482665-1659807925-front.jpg,https://storage.googleapis.com/collx-media/user_cards/232360-20482665-1659807925-back.jpg
