title,player,sport,variant,brand,price,condition,watchers,status
Nikola Jokic RARE REFRACTOR SSP INVESTMENT CARD Denver Nuggets MVP MINT ENCASED,Nikola Jokic,Basketball,Refractor / SSP,Panini,53.5,Pre-Owned,0,Active
Stephen Curry RARE Red Refractor Investment Card Panini Warriors MINT ENCASED,Stephen Curry,Basketball,Red / Refractor,Panini,55.5,Pre-Owned,0,Active
2025 Anthony Edwards RARE LIMITED STOCK LEGEND INVESTMENT CARD Topps MVP ENCASED,Anthony Edwards,Basketball,SP,Topps,44.5,Pre-Owned,11,Active
Nikola Jokic RARE REFRACTOR PRIZM INVESTMENT CARD SSP NUGGETS MVP MINT ENCASED,Nikola Jokic,Basketball,Refractor / Prizm / SSP,Panini,55.5,Pre-Owned,0,Active
40/40 Shohei Ohtani RARE Topps Refractor Investment Card Dodgers 40/40 ENCASED,Shohei Ohtani,Baseball,Refractor,Topps,55.5,Pre-Owned,6,Active
Stephen Curry RARE Black Display Refractor SSP Panini Warriors MINT ENCASED,Stephen Curry,Basketball,Black / Display / Refractor / SSP,Panini,55.5,Pre-Owned,0,Active
Nikola Jokic RARE REFRACTOR SSP INVESTMENT CARD Denver Nuggets MVP ENCASED (top),Nikola Jokic,Basketball,Refractor / SSP,Panini,48.5,Pre-Owned,69,Active
Aaron Judge RARE Refractor SSP Investment Card Topps New York Yankees ENCASED,Aaron Judge,Baseball,Refractor / SSP,Topps,48.5,Pre-Owned,0,Active
Historic 2025 Shohei Ohtani RARE Refractor Investment Card Dodgers 50/50 ENCASED,Shohei Ohtani,Baseball,Refractor,Topps,55.5,Pre-Owned,0,Active
Nikola Jokic RARE REFRACTOR PRIZM INVESTMENT CARD SSP NUGGETS MVP (30 watch),Nikola Jokic,Basketball,Refractor / Prizm / SSP,Panini,44.5,Pre-Owned,30,Active
LeBron James Rare Refractor SSP Lakers MVP Encased Mint Investment,LeBron James,Basketball,Refractor / SSP,Panini,44.5,Pre-Owned,0,Active
Anthony Edwards RARE WHITE BEAUTIFUL INVESTMENT CARD MVP Antman ENCASED,Anthony Edwards,Basketball,SP,Panini,44.5,Pre-Owned,6,Active
Ken Griffey Jr. RARE REFRACTOR TOPPS CHROME INVESTMENT CARD MARINERS ENCASED,Ken Griffey Jr.,Baseball,Refractor / Chrome,Topps,95.0,Pre-Owned,0,Active
2025 Panini Caitlin Clark Rare Iowa Hawkeyes Refractor Investment Card Encased,Caitlin Clark,Basketball,Refractor,Panini,45.5,Pre-Owned,0,Active
Aaron Judge RARE Mini Display Refractor Chrome SP Yankees MINT ENCASED,Aaron Judge,Baseball,Refractor / Chrome / SP / Display,Topps,65.0,Pre-Owned,0,Active
Nikola Jokic RARE Clear Refractor SSP Panini Nuggets MVP ENCASED,Nikola Jokic,Basketball,Clear / Refractor / SSP,Panini,45.5,Pre-Owned,15,Active
Shohei Ohtani RARE ART PRINT INVESTMENT CARD TOPPS 50/50 MVP MINT ENCASED,Shohei Ohtani,Baseball,Art Print,Topps,65.0,Pre-Owned,0,Active
Nikola Jokic Encased Green Refractor Investment Card NBA Nuggets MINT DISPLAY,Nikola Jokic,Basketball,Green / Refractor / Display,Panini,65.0,Pre-Owned,0,Active
Stephen Curry 2016 NBA Art Card MVP Warriors MINT ENCASED (2),Stephen Curry,Basketball,Art Card,Panini,65.5,Pre-Owned,0,Active
LEBRON JAMES REFRACTOR SP Number 23 LAKERS LEGEND Beautiful Card ENCASED,LeBron James,Basketball,Refractor / SP,Panini,65.0,Pre-Owned,0,Active
Nikola Jokic Encased NBA Investment Card Nuggets MVP MINT DISPLAY (19 watch),Nikola Jokic,Basketball,Display,Panini,48.5,Pre-Owned,19,Active
Tom Brady RARE Blue Refractor SSP Investment Card Pats ENCASED,Tom Brady,Football,Blue / Refractor / SSP,Panini,55.5,Pre-Owned,13,Active
Anthony Edwards GOLD Revolution Refractor SSP Timberwolves Encased,Anthony Edwards,Basketball,Gold / Revolution / Refractor / SSP,Panini,75.5,Pre-Owned,27,Active
